"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1μF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"C2","1","0.01μF","","","","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10","10","LED","","","","LED_THT:LED_D3.0mm",""
"J1","1","Conn_01x02_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J2","1","Conn_01x01_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"R1","1","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R3","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"RV2","1","50K","","","","Potentiometer_THT:Potentiometer_Vishay_T93YA_Vertical",""
"U1","1","NE555P","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf"
"U2","1","4017","","","","Package_DIP:DIP-16_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4017bms-22bms.pdf"
